x_in,y_in
3.400867,-0.934585
3.405107,-0.934181
3.409349,-0.933774
3.413593,-0.933363
3.417839,-0.932949
3.422087,-0.932532
3.426337,-0.932112
3.430589,-0.931688
3.434842,-0.931261
3.439098,-0.930830
3.443355,-0.930397
3.447614,-0.929960
3.451874,-0.929519
3.456136,-0.929075
3.460400,-0.928628
3.464665,-0.928178
3.468932,-0.927724
3.473200,-0.927267
3.477470,-0.926806
3.481740,-0.926342
3.486012,-0.925875
3.490286,-0.925404
3.494560,-0.924930
3.498836,-0.924453
3.503112,-0.923972
3.507390,-0.923488
3.511669,-0.923001
3.515949,-0.922510
3.520229,-0.922015
3.524510,-0.921518
3.528793,-0.921017
3.533076,-0.920512
3.537359,-0.920005
3.541644,-0.919493
3.545929,-0.918979
3.550214,-0.918461
3.554500,-0.917940
3.558786,-0.917415
3.563073,-0.916887
3.567360,-0.916355
3.571648,-0.915821
3.575936,-0.915282
3.580224,-0.914741
3.584512,-0.914196
3.588800,-0.913647
3.593088,-0.913096
3.597377,-0.912540
3.601665,-0.911982
3.605953,-0.911420
3.610241,-0.910855
3.614529,-0.910286
3.618817,-0.909714
3.623104,-0.909139
3.627391,-0.908560
3.631678,-0.907978
3.635964,-0.907393
3.640250,-0.906804
3.644535,-0.906212
3.648820,-0.905616
3.653104,-0.905018
3.657388,-0.904415
3.661670,-0.903810
3.665952,-0.903201
3.670233,-0.902589
3.674513,-0.901973
3.678793,-0.901355
3.683071,-0.900733
3.687348,-0.900107
3.691625,-0.899478
3.695900,-0.898846
3.700174,-0.898211
3.704446,-0.897572
3.708718,-0.896931
3.712988,-0.896285
3.717257,-0.895637
3.721525,-0.894985
3.725791,-0.894330
3.730055,-0.893672
3.734318,-0.893010
3.738579,-0.892346
3.742839,-0.891678
3.747097,-0.891006
3.751354,-0.890332
3.755608,-0.889654
3.759861,-0.888973
3.764112,-0.888289
3.768361,-0.887602
3.772608,-0.886911
3.776853,-0.886217
3.781096,-0.885520
3.785337,-0.884820
3.789576,-0.884117
3.793812,-0.883410
3.798047,-0.882701
3.802279,-0.881988
3.806509,-0.881272
3.810736,-0.880553
3.814961,-0.879831
3.819183,-0.879105
3.823404,-0.878377
3.827621,-0.877645
3.831836,-0.876910
3.836048,-0.876172
3.840258,-0.875431
3.844465,-0.874687
3.848669,-0.873940
3.852871,-0.873190
3.857069,-0.872437
3.861265,-0.871680
3.865458,-0.870921
3.869648,-0.870158
3.873834,-0.869393
3.878018,-0.868624
3.882199,-0.867853
3.886377,-0.867078
3.890551,-0.866301
3.894722,-0.865520
3.898890,-0.864736
3.903055,-0.863950
3.907217,-0.863160
3.911375,-0.862367
3.915529,-0.861572
3.919681,-0.860773
3.923829,-0.859972
3.927973,-0.859167
3.932114,-0.858360
3.936251,-0.857550
3.940385,-0.856736
3.944515,-0.855920
3.948641,-0.855101
3.952763,-0.854279
3.956882,-0.853454
3.960997,-0.852626
3.965108,-0.851795
3.969216,-0.850961
3.973319,-0.850125
3.977419,-0.849285
3.981514,-0.848443
3.985606,-0.847597
3.989694,-0.846749
3.993777,-0.845898
3.997857,-0.845045
4.001932,-0.844188
4.006003,-0.843328
4.010070,-0.842466
4.014133,-0.841601
4.018192,-0.840733
4.022246,-0.839862
4.026296,-0.838988
4.030342,-0.838112
4.034383,-0.837232
4.038420,-0.836350
4.042452,-0.835465
4.046480,-0.834577
4.050504,-0.833687
4.054523,-0.832793
4.058538,-0.831897
4.062548,-0.830998
4.066553,-0.830097
4.070554,-0.829192
4.074550,-0.828285
4.078542,-0.827375
4.082529,-0.826462
