psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat,psi_d,x_d,y_d
3.280442,0.199925,-5.739036,1.644464,3.280449,-5.737949,1.650039,0.210609,-3.002459,-5.735671,1.638317
3.280513,0.199925,-5.741016,1.644189,3.280520,-5.739929,1.649765,0.210603,-3.002389,-5.737651,1.638040
3.280583,0.199925,-5.742996,1.643914,3.280591,-5.741908,1.649492,0.210597,-3.002318,-5.739630,1.637762
3.280654,0.199925,-5.744976,1.643638,3.280661,-5.743887,1.649218,0.210592,-3.002247,-5.741610,1.637485
3.280725,0.199925,-5.746956,1.643363,3.280732,-5.745866,1.648945,0.210586,-3.002176,-5.743589,1.637207
3.280795,0.199925,-5.748937,1.643087,3.280803,-5.747845,1.648671,0.210581,-3.002106,-5.745569,1.636929
3.280866,0.199925,-5.750917,1.642811,3.280874,-5.749824,1.648397,0.210575,-3.002035,-5.747548,1.636651
3.280937,0.199925,-5.752897,1.642535,3.280945,-5.751803,1.648123,0.210570,-3.001964,-5.749528,1.636373
3.281008,0.199925,-5.754877,1.642259,3.281015,-5.753782,1.647848,0.210564,-3.001893,-5.751507,1.636095
3.281079,0.199925,-5.756857,1.641983,3.281086,-5.755761,1.647574,0.210559,-3.001822,-5.753487,1.635817
3.281150,0.199925,-5.758837,1.641707,3.281157,-5.757741,1.647299,0.210553,-3.001751,-5.755466,1.635538
3.281221,0.199925,-5.760817,1.641430,3.281228,-5.759720,1.647025,0.210548,-3.001680,-5.757445,1.635259
3.281292,0.199925,-5.762797,1.641153,3.281299,-5.761698,1.646750,0.210542,-3.001609,-5.759425,1.634980
3.281363,0.199925,-5.764777,1.640877,3.281370,-5.763677,1.646475,0.210537,-3.001538,-5.761404,1.634701
3.281434,0.199925,-5.766757,1.640600,3.281442,-5.765656,1.646200,0.210531,-3.001467,-5.763383,1.634422
3.281505,0.199925,-5.768737,1.640323,3.281513,-5.767635,1.645925,0.210526,-3.001396,-5.765363,1.634143
3.281576,0.199925,-5.770717,1.640045,3.281584,-5.769614,1.645649,0.210520,-3.001325,-5.767342,1.633864
3.281647,0.199925,-5.772697,1.639768,3.281655,-5.771593,1.645374,0.210515,-3.001254,-5.769321,1.633584
3.281719,0.199925,-5.774677,1.639491,3.281726,-5.773572,1.645098,0.210509,-3.001182,-5.771300,1.633305
3.281790,0.199925,-5.776657,1.639213,3.281798,-5.775551,1.644822,0.210504,-3.001111,-5.773280,1.633025
3.281861,0.199925,-5.778637,1.638935,3.281869,-5.777530,1.644546,0.210498,-3.001040,-5.775259,1.632745
3.281933,0.199925,-5.780616,1.638657,3.281940,-5.779508,1.644270,0.210493,-3.000968,-5.777238,1.632465
3.282004,0.199925,-5.782596,1.638379,3.282012,-5.781487,1.643994,0.210487,-3.000897,-5.779217,1.632184
3.282075,0.199925,-5.784576,1.638101,3.282083,-5.783466,1.643718,0.210482,-3.000826,-5.781196,1.631904
3.282147,0.199926,-5.786556,1.637823,3.282154,-5.785445,1.643441,0.210476,-3.000754,-5.783175,1.631624
3.282218,0.199926,-5.788536,1.637544,3.282226,-5.787423,1.643165,0.210471,-3.000683,-5.785154,1.631343
3.282290,0.199926,-5.790515,1.637266,3.282298,-5.789402,1.642888,0.210465,-3.000611,-5.787134,1.631062
3.282361,0.199926,-5.792495,1.636987,3.282369,-5.791381,1.642611,0.210460,-3.000540,-5.789113,1.630781
3.282433,0.199926,-5.794475,1.636708,3.282441,-5.793360,1.642334,0.210454,-3.000468,-5.791092,1.630500
3.282504,0.199926,-5.796454,1.636429,3.282512,-5.795338,1.642057,0.210449,-3.000396,-5.793071,1.630219
3.282576,0.199926,-5.798434,1.636150,3.282584,-5.797317,1.641780,0.210443,-3.000325,-5.795050,1.629937
3.282648,0.199926,-5.800414,1.635870,3.282656,-5.799295,1.641502,0.210438,-3.000253,-5.797029,1.629656
3.282719,0.199926,-5.802393,1.635591,3.282727,-5.801274,1.641225,0.210433,-3.000181,-5.799008,1.629374
3.282791,0.199926,-5.804373,1.635311,3.282799,-5.803253,1.640947,0.210427,-3.000110,-5.800986,1.629092
3.282863,0.199926,-5.806353,1.635032,3.282871,-5.805231,1.640669,0.210422,-3.000038,-5.802965,1.628811
3.282935,0.199926,-5.808332,1.634752,3.282943,-5.807210,1.640391,0.210416,-2.999966,-5.804944,1.628528
3.283007,0.199926,-5.810312,1.634472,3.283015,-5.809188,1.640113,0.210411,-2.999894,-5.806923,1.628246
3.283079,0.199926,-5.812291,1.634192,3.283087,-5.811167,1.639835,0.210405,-2.999822,-5.808902,1.627964
