PosXRight,PosYRight,Absolute Time
0.000000,-1.000000,3568988197.497544
0.000000,-1.000000,3568988197.507546
0.010285,-1.000000,3568988197.517544
0.072146,-1.000000,3568988197.527545
0.134007,-1.000000,3568988197.537545
0.154637,-1.000000,3568988197.547546
0.154637,-1.000000,3568988197.557546
0.164953,-1.000000,3568988197.567548
0.185553,-1.000000,3568988197.577546
0.216498,-1.000000,3568988197.587545
0.216498,-1.000000,3568988197.597548
0.216498,-1.000000,3568988197.607547
0.216498,-1.000000,3568988197.617548
0.216498,-1.000000,3568988197.627552
0.237098,-1.000000,3568988197.637548
0.257729,-1.000000,3568988197.647549
0.257729,-1.000000,3568988197.657550
0.257729,-1.000000,3568988197.667550
0.268044,-1.000000,3568988197.677550
0.268044,-1.000000,3568988197.687551
0.278329,-1.000000,3568988197.697550
0.329905,-1.000000,3568988197.707551
0.360820,-1.000000,3568988197.717550
0.381451,-1.000000,3568988197.727551
0.381451,-1.000000,3568988197.737553
0.412366,-1.000000,3568988197.747554
0.453597,-1.000000,3568988197.757552
0.463912,-1.000000,3568988197.767553
0.515458,-1.000000,3568988197.777553
0.536088,-1.000000,3568988197.787554
0.628864,-1.000000,3568988197.797553
0.670095,-1.000000,3568988197.807555
0.731956,-1.000000,3568988197.817553
0.731956,-1.000000,3568988197.827553
0.793817,-1.000000,3568988197.837554
0.855678,-1.000000,3568988197.847555
0.927854,-1.000000,3568988197.857557
0.969085,-1.000000,3568988197.867558
0.979400,-1.000000,3568988197.877555
0.979400,-1.000000,3568988197.887557
0.989715,-1.000000,3568988197.897556
1.000000,-1.000000,3568988197.907557
1.000000,-1.000000,3568988197.917557
1.000000,-1.000000,3568988197.927559
1.000000,-1.000000,3568988197.937559
1.000000,-1.000000,3568988197.947559
1.000000,-1.000000,3568988197.957559
1.000000,-1.000000,3568988197.967559
1.000000,-1.000000,3568988197.977562
1.000000,-1.000000,3568988197.987562
1.000000,-1.000000,3568988197.997560
1.000000,-1.000000,3568988198.007560
1.000000,-1.000000,3568988198.017561
1.000000,-1.000000,3568988198.027562
1.000000,-1.000000,3568988198.037563
1.000000,-1.000000,3568988198.047563
1.000000,-1.000000,3568988198.057562
1.000000,-1.000000,3568988198.067563
1.000000,-1.000000,3568988198.077563
1.000000,-1.000000,3568988198.087563
1.000000,-0.989746,3568988198.097563
1.000000,-0.979431,3568988198.107565
1.000000,-0.969115,3568988198.117565
1.000000,-0.958800,3568988198.127564
1.000000,-0.948485,3568988198.137565
1.000000,-0.927885,3568988198.147565
1.000000,-0.917570,3568988198.157567
1.000000,-0.896939,3568988198.167567
1.000000,-0.866024,3568988198.177566
1.000000,-0.866024,3568988198.187567
1.000000,-0.845393,3568988198.197566
1.000000,-0.835078,3568988198.207567
1.000000,-0.824793,3568988198.217567
1.000000,-0.814478,3568988198.227570
1.000000,-0.793847,3568988198.237567
1.000000,-0.783532,3568988198.247569
1.000000,-0.783532,3568988198.257568
1.000000,-0.762932,3568988198.267570
1.000000,-0.762932,3568988198.277569
1.000000,-0.752617,3568988198.287571
1.000000,-0.752617,3568988198.297570
1.000000,-0.731986,3568988198.307570
1.000000,-0.721702,3568988198.317571
1.000000,-0.711386,3568988198.327570
1.000000,-0.690756,3568988198.337571
