psi_m,x_m,y_m,x_d,psi_d,y_d
19.323212,4.713858,-3.123701,4.622303,-0.170315,-2.883869
19.326087,4.716867,-3.126505,4.624767,-0.169992,-2.884293
19.328947,4.719867,-3.129317,4.627231,-0.169669,-2.884715
19.331792,4.722859,-3.132136,4.629695,-0.169346,-2.885137
19.334622,4.725842,-3.134961,4.632159,-0.169023,-2.885558
19.337437,4.728817,-3.137794,4.634624,-0.168700,-2.885978
19.340236,4.731783,-3.140633,4.637088,-0.168377,-2.886397
19.343018,4.734740,-3.143479,4.639553,-0.168054,-2.886816
19.345785,4.737689,-3.146332,4.642018,-0.167732,-2.887234
19.348534,4.740630,-3.149191,4.644483,-0.167409,-2.887651
19.351267,4.743561,-3.152057,4.646948,-0.167087,-2.888067
19.353982,4.746484,-3.154929,4.649413,-0.166764,-2.888482
19.356680,4.749399,-3.157808,4.651879,-0.166442,-2.888897
19.359360,4.752305,-3.160692,4.654344,-0.166120,-2.889311
19.362022,4.755202,-3.163583,4.656810,-0.165798,-2.889724
19.364666,4.758091,-3.166480,4.659276,-0.165476,-2.890136
19.367291,4.760972,-3.169383,4.661741,-0.165154,-2.890547
19.369897,4.763843,-3.172292,4.664207,-0.164832,-2.890958
19.372485,4.766707,-3.175206,4.666674,-0.164510,-2.891368
19.375052,4.769561,-3.178127,4.669140,-0.164189,-2.891777
19.377601,4.772407,-3.181053,4.671606,-0.163867,-2.892185
19.380129,4.775245,-3.183984,4.674073,-0.163545,-2.892592
19.382637,4.778074,-3.186921,4.676540,-0.163224,-2.892999
19.385125,4.780895,-3.189864,4.679007,-0.162903,-2.893405
19.387592,4.783708,-3.192811,4.681474,-0.162581,-2.893810
19.390038,4.786512,-3.195764,4.683941,-0.162260,-2.894214
19.392463,4.789307,-3.198722,4.686408,-0.161939,-2.894618
19.394866,4.792094,-3.201685,4.688875,-0.161618,-2.895020
19.397248,4.794873,-3.204653,4.691343,-0.161297,-2.895422
19.399608,4.797644,-3.207626,4.693810,-0.160977,-2.895823
19.401946,4.800406,-3.210604,4.696278,-0.160656,-2.896224
19.404262,4.803160,-3.213586,4.698746,-0.160335,-2.896623
19.406554,4.805906,-3.216573,4.701214,-0.160015,-2.897022
19.408824,4.808644,-3.219564,4.703682,-0.159694,-2.897420
19.411071,4.811373,-3.222560,4.706150,-0.159374,-2.897817
19.413295,4.814095,-3.225560,4.708619,-0.159053,-2.898213
19.415495,4.816808,-3.228564,4.711087,-0.158733,-2.898609
19.417672,4.819513,-3.231573,4.713556,-0.158413,-2.899004
19.419824,4.822210,-3.234585,4.716025,-0.158093,-2.899398
19.421952,4.824899,-3.237602,4.718493,-0.157773,-2.899791
19.424056,4.827580,-3.240622,4.720962,-0.157453,-2.900183
19.426136,4.830254,-3.243646,4.723432,-0.157133,-2.900575
19.428190,4.832919,-3.246674,4.725901,-0.156813,-2.900966
19.430220,4.835577,-3.249705,4.728370,-0.156494,-2.901356
19.432224,4.838227,-3.252740,4.730840,-0.156174,-2.901745
19.434203,4.840869,-3.255778,4.733309,-0.155854,-2.902133
19.436156,4.843503,-3.258819,4.735779,-0.155535,-2.902521
19.438084,4.846130,-3.261864,4.738249,-0.155216,-2.902908
19.439985,4.848749,-3.264911,4.740719,-0.154896,-2.903294
19.441861,4.851360,-3.267962,4.743189,-0.154577,-2.903679
19.443710,4.853964,-3.271015,4.745659,-0.154258,-2.904064
19.445532,4.856561,-3.274072,4.748130,-0.153939,-2.904448
19.447328,4.859150,-3.277130,4.750600,-0.153620,-2.904830
19.449097,4.861732,-3.280192,4.753071,-0.153301,-2.905213
19.450839,4.864306,-3.283256,4.755542,-0.152982,-2.905594
19.452553,4.866874,-3.286322,4.758013,-0.152664,-2.905975
19.454241,4.869434,-3.289391,4.760484,-0.152345,-2.906354
19.455900,4.871987,-3.292462,4.762955,-0.152026,-2.906733
19.457532,4.874532,-3.295535,4.765426,-0.151708,-2.907112
19.459137,4.877071,-3.298609,4.767897,-0.151389,-2.907489
19.460713,4.879603,-3.301686,4.770369,-0.151071,-2.907866
19.462261,4.882127,-3.304764,4.772840,-0.150753,-2.908241
19.463781,4.884645,-3.307845,4.775312,-0.150435,-2.908617
19.465272,4.887156,-3.310926,4.777784,-0.150117,-2.908991
19.466735,4.889661,-3.314009,4.780256,-0.149799,-2.909364
19.468169,4.892158,-3.317094,4.782728,-0.149481,-2.909737
19.469574,4.894649,-3.320179,4.785200,-0.149163,-2.910109
19.470950,4.897134,-3.323266,4.787672,-0.148845,-2.910480
19.472297,4.899611,-3.326354,4.790145,-0.148527,-2.910850
19.473615,4.902083,-3.329442,4.792617,-0.148210,-2.911220
19.474904,4.904548,-3.332532,4.795090,-0.147892,-2.911589
19.476163,4.907007,-3.335622,4.797563,-0.147574,-2.911957
19.477393,4.909459,-3.338713,4.800036,-0.147257,-2.912324
19.478593,4.911905,-3.341804,4.802509,-0.146940,-2.912690
19.479763,4.914345,-3.344895,4.804982,-0.146622,-2.913056
19.480903,4.916779,-3.347987,4.807455,-0.146305,-2.913421
19.482014,4.919207,-3.351079,4.809928,-0.145988,-2.913785
19.483094,4.921629,-3.354171,4.812402,-0.145671,-2.914148
19.484144,4.924045,-3.357263,4.814875,-0.145354,-2.914511
19.485164,4.926455,-3.360354,4.817349,-0.145037,-2.914872
19.486153,4.928860,-3.363446,4.819823,-0.144720,-2.915233
19.487113,4.931259,-3.366537,4.822297,-0.144404,-2.915593
19.488041,4.933652,-3.369627,4.824771,-0.144087,-2.915953
19.488939,4.936039,-3.372717,4.827245,-0.143770,-2.916311
19.489807,4.938422,-3.375806,4.829719,-0.143454,-2.916669
19.490643,4.940798,-3.378894,4.832194,-0.143137,-2.917026
19.491449,4.943170,-3.381981,4.834668,-0.142821,-2.917382
19.492225,4.945536,-3.385067,4.837143,-0.142505,-2.917738
19.492969,4.947897,-3.388152,4.839617,-0.142188,-2.918093
19.493682,4.950253,-3.391236,4.842092,-0.141872,-2.918446
19.494364,4.952604,-3.394318,4.844567,-0.141556,-2.918800
19.495016,4.954949,-3.397399,4.847042,-0.141240,-2.919152
19.495636,4.957290,-3.400477,4.849517,-0.140924,-2.919503
19.496225,4.959626,-3.403555,4.851993,-0.140608,-2.919854
19.496782,4.961958,-3.406630,4.854468,-0.140292,-2.920204
19.497309,4.964284,-3.409703,4.856943,-0.139977,-2.920553
19.497804,4.966606,-3.412775,4.859419,-0.139661,-2.920902
19.498268,4.968924,-3.415844,4.861895,-0.139345,-2.921249
19.498701,4.971237,-3.418910,4.864371,-0.139030,-2.921596
19.499102,4.973545,-3.421975,4.866847,-0.138714,-2.921942
19.499472,4.975850,-3.425036,4.869323,-0.138399,-2.922288
19.499811,4.978150,-3.428095,4.871799,-0.138084,-2.922632
19.500118,4.980446,-3.431152,4.874275,-0.137768,-2.922976
19.500394,4.982738,-3.434205,4.876751,-0.137453,-2.923319
19.500638,4.985025,-3.437256,4.879228,-0.137138,-2.923661
19.500851,4.987309,-3.440303,4.881704,-0.136823,-2.924002
19.501033,4.989589,-3.443347,4.884181,-0.136508,-2.924343
19.501183,4.991866,-3.446388,4.886658,-0.136193,-2.924683
19.501301,4.994138,-3.449425,4.889135,-0.135878,-2.925022
19.501389,4.996407,-3.452459,4.891612,-0.135564,-2.925360
19.501444,4.998672,-3.455490,4.894089,-0.135249,-2.925697
19.501469,5.000934,-3.458516,4.896566,-0.134934,-2.926034
19.501462,5.003193,-3.461539,4.899043,-0.134620,-2.926370
19.501423,5.005448,-3.464557,4.901521,-0.134305,-2.926705
19.501354,5.007700,-3.467572,4.903998,-0.133991,-2.927040
19.501253,5.009949,-3.470582,4.906476,-0.133676,-2.927373
19.501120,5.012195,-3.473589,4.908954,-0.133362,-2.927706
19.500956,5.014438,-3.476590,4.911432,-0.133048,-2.928038
19.500761,5.016677,-3.479587,4.913910,-0.132734,-2.928369
19.500535,5.018914,-3.482580,4.916388,-0.132420,-2.928700
19.500277,5.021149,-3.485568,4.918866,-0.132106,-2.929029
19.499989,5.023380,-3.488551,4.921344,-0.131792,-2.929358
19.499669,5.025609,-3.491529,4.923822,-0.131478,-2.929687
19.499318,5.027835,-3.494501,4.926301,-0.131164,-2.930014
19.498937,5.030059,-3.497469,4.928780,-0.130850,-2.930340
19.498524,5.032281,-3.500432,4.931258,-0.130537,-2.930666
19.498081,5.034500,-3.503389,4.933737,-0.130223,-2.930991
19.497606,5.036717,-3.506340,4.936216,-0.129909,-2.931316
19.497102,5.038932,-3.509286,4.938695,-0.129596,-2.931639
19.496566,5.041144,-3.512226,4.941174,-0.129283,-2.931962
19.496000,5.043355,-3.515160,4.943653,-0.128969,-2.932284
19.495404,5.045564,-3.518089,4.946132,-0.128656,-2.932605
19.494778,5.047771,-3.521011,4.948612,-0.128343,-2.932925
19.494121,5.049976,-3.523927,4.951091,-0.128029,-2.933245
