psi_m,x_m,y_m,psi_d,x_d,y_d
2.966998,7.742916,0.297965,3.129681,6.099247,2.999409
2.967598,7.744506,0.301313,3.129981,6.096748,2.999438
2.968191,7.746092,0.304661,3.130281,6.094248,2.999467
2.968778,7.747675,0.308009,3.130582,6.091748,2.999495
2.969359,7.749253,0.311357,3.130882,6.089248,2.999522
2.969933,7.750828,0.314706,3.131182,6.086748,2.999548
2.970500,7.752399,0.318054,3.131482,6.084248,2.999574
2.971061,7.753966,0.321403,3.131782,6.081748,2.999599
2.971616,7.755530,0.324752,3.132082,6.079249,2.999623
2.972164,7.757089,0.328101,3.132382,6.076749,2.999647
2.972706,7.758645,0.331450,3.132682,6.074249,2.999669
2.973242,7.760197,0.334799,3.132982,6.071749,2.999691
2.973771,7.761745,0.338148,3.133282,6.069249,2.999712
2.974294,7.763289,0.341497,3.133582,6.066749,2.999733
2.974811,7.764830,0.344846,3.133882,6.064249,2.999752
2.975321,7.766366,0.348195,3.134182,6.061749,2.999771
2.975825,7.767899,0.351544,3.134482,6.059249,2.999789
2.976323,7.769427,0.354893,3.134782,6.056749,2.999807
2.976814,7.770952,0.358242,3.135082,6.054249,2.999823
2.977300,7.772473,0.361591,3.135382,6.051749,2.999839
2.977779,7.773989,0.364940,3.135683,6.049249,2.999854
2.978252,7.775502,0.368289,3.135983,6.046749,2.999869
2.978719,7.777011,0.371637,3.136283,6.044250,2.999883
2.979180,7.778516,0.374986,3.136583,6.041750,2.999895
2.979635,7.780016,0.378335,3.136883,6.039250,2.999908
2.980083,7.781513,0.381683,3.137183,6.036750,2.999919
2.980526,7.783006,0.385032,3.137483,6.034250,2.999930
2.980963,7.784495,0.388380,3.137783,6.031750,2.999940
2.981394,7.785979,0.391729,3.138083,6.029250,2.999949
2.981818,7.787460,0.395077,3.138383,6.026750,2.999957
2.982237,7.788936,0.398425,3.138683,6.024250,2.999965
2.982650,7.790409,0.401773,3.138983,6.021750,2.999972
2.983058,7.791877,0.405120,3.139283,6.019250,2.999978
2.983459,7.793341,0.408468,3.139583,6.016750,2.999983
2.983854,7.794801,0.411815,3.139883,6.014250,2.999988
2.984244,7.796257,0.415163,3.140183,6.011750,2.999992
2.984628,7.797709,0.418510,3.140483,6.009250,2.999995
2.985007,7.799157,0.421856,3.140783,6.006750,2.999997
2.985379,7.800600,0.425203,3.141083,6.004250,2.999999
2.985747,7.802039,0.428550,3.141383,6.001750,3.000000
2.986108,7.803475,0.431896,-3.141503,5.999250,3.000000
2.986464,7.804906,0.435242,-3.141203,5.996750,2.999999
2.986814,7.806332,0.438588,-3.140903,5.994250,2.999998
2.987159,7.807755,0.441933,-3.140603,5.991750,2.999996
2.987499,7.809173,0.445279,-3.140303,5.989250,2.999993
2.987833,7.810587,0.448624,-3.140003,5.986750,2.999989
2.988161,7.811997,0.451969,-3.139703,5.984250,2.999985
2.988484,7.813403,0.455313,-3.139403,5.981750,2.999980
2.988802,7.814804,0.458658,-3.139103,5.979250,2.999974
2.989115,7.816201,0.462002,-3.138803,5.976750,2.999968
2.989422,7.817594,0.465346,-3.138503,5.974250,2.999960
2.989725,7.818982,0.468689,-3.138203,5.971750,2.999952
2.990022,7.820366,0.472033,-3.137903,5.969250,2.999943
2.990313,7.821746,0.475376,-3.137603,5.966750,2.999934
2.990600,7.823122,0.478718,-3.137303,5.964250,2.999923
2.990882,7.824493,0.482061,-3.137003,5.961750,2.999912
2.991159,7.825860,0.485403,-3.136703,5.959250,2.999900
2.991430,7.827223,0.488745,-3.136402,5.956750,2.999888
2.991697,7.828581,0.492086,-3.136102,5.954250,2.999874
2.991959,7.829935,0.495427,-3.135802,5.951750,2.999860
2.992216,7.831284,0.498768,-3.135502,5.949250,2.999845
2.992468,7.832629,0.502109,-3.135202,5.946750,2.999830
2.992716,7.833970,0.505449,-3.134902,5.944250,2.999814
2.992959,7.835306,0.508789,-3.134602,5.941750,2.999796
2.993197,7.836638,0.512128,-3.134302,5.939250,2.999779
2.993430,7.837966,0.515467,-3.134002,5.936750,2.999760
2.993659,7.839289,0.518806,-3.133702,5.934250,2.999741
2.993883,7.840608,0.522145,-3.133402,5.931750,2.999721
2.994103,7.841922,0.525483,-3.133102,5.929251,2.999700
2.994318,7.843232,0.528821,-3.132802,5.926751,2.999678
2.994529,7.844537,0.532158,-3.132502,5.924251,2.999656
2.994736,7.845838,0.535496,-3.132202,5.921751,2.999633
2.994938,7.847134,0.538832,-3.131902,5.919251,2.999609
2.995136,7.848426,0.542169,-3.131602,5.916751,2.999584
2.995329,7.849714,0.545505,-3.131302,5.914251,2.999559
2.995519,7.850997,0.548841,-3.131002,5.911751,2.999533
2.995704,7.852276,0.552176,-3.130701,5.909252,2.999506
