psi_m,x_m,y_m
9.542980,6.348594,3.535094
9.545019,6.344235,3.534055
9.547056,6.339874,3.533013
9.549089,6.335508,3.531971
9.551121,6.331140,3.530926
9.553150,6.326769,3.529880
9.555176,6.322394,3.528833
9.557200,6.318016,3.527784
9.559222,6.313635,3.526733
9.561241,6.309251,3.525681
9.563258,6.304863,3.524628
9.565273,6.300473,3.523573
9.567286,6.296079,3.522516
9.569297,6.291683,3.521458
9.571305,6.287283,3.520399
9.573312,6.282880,3.519338
9.575316,6.278474,3.518276
9.577319,6.274066,3.517212
9.579320,6.269654,3.516147
9.581319,6.265239,3.515081
9.583316,6.260821,3.514013
9.585312,6.256400,3.512944
9.587306,6.251976,3.511874
9.589298,6.247550,3.510802
9.591289,6.243120,3.509729
9.593278,6.238687,3.508655
9.595266,6.234252,3.507579
9.597252,6.229813,3.506503
9.599237,6.225372,3.505425
9.601221,6.220928,3.504346
9.603204,6.216481,3.503265
9.605185,6.212031,3.502184
9.607166,6.207578,3.501101
9.609145,6.203122,3.500017
9.611123,6.198664,3.498932
9.613101,6.194203,3.497846
9.615077,6.189739,3.496759
9.617053,6.185272,3.495671
9.619028,6.180802,3.494581
9.621002,6.176330,3.493491
9.622976,6.171855,3.492399
9.624949,6.167377,3.491307
9.626921,6.162897,3.490214
9.628893,6.158413,3.489119
9.630865,6.153927,3.488024
9.632836,6.149439,3.486927
9.634807,6.144947,3.485830
9.636778,6.140453,3.484732
9.638749,6.135957,3.483633
9.640720,6.131457,3.482533
9.642690,6.126955,3.481432
9.644661,6.122451,3.480330
9.646632,6.117944,3.479227
9.648603,6.113434,3.478124
9.650574,6.108921,3.477020
9.652545,6.104406,3.475915
9.654517,6.099889,3.474809
9.656489,6.095369,3.473703
9.658462,6.090846,3.472595
9.660435,6.086320,3.471487
9.662409,6.081793,3.470379
9.664384,6.077262,3.469269
9.666359,6.072729,3.468159
9.668336,6.068194,3.467049
9.670313,6.063656,3.465938
9.672291,6.059115,3.464826
9.674270,6.054572,3.463713
9.676251,6.050027,3.462600
9.678232,6.045479,3.461487
9.680215,6.040929,3.460373
9.682199,6.036376,3.459258
9.684184,6.031820,3.458143
9.686171,6.027263,3.457028
9.688160,6.022703,3.455912
9.690150,6.018140,3.454795
9.692142,6.013575,3.453678
9.694135,6.009007,3.452561
9.696131,6.004438,3.451444
9.698128,5.999865,3.450326
9.700127,5.995291,3.449207
9.702128,5.990714,3.448089
9.704132,5.986134,3.446970
9.706137,5.981552,3.445851
9.708145,5.976968,3.444731
9.710155,5.972382,3.443611
9.712168,5.967793,3.442492
9.714183,5.963202,3.441371
9.716201,5.958608,3.440251
9.718221,5.954012,3.439131
9.720244,5.949414,3.438010
9.722270,5.944814,3.436890
9.724299,5.940211,3.435769
9.726330,5.935606,3.434648
9.728365,5.930998,3.433527
9.730403,5.926389,3.432406
9.732444,5.921777,3.431285
9.734488,5.917163,3.430165
9.736536,5.912546,3.429044
9.738587,5.907927,3.427923
9.740641,5.903306,3.426802
9.742699,5.898683,3.425682
9.744761,5.894057,3.424561
9.746826,5.889430,3.423441
9.748896,5.884800,3.422321
9.750969,5.880167,3.421201
9.753046,5.875533,3.420081
9.755127,5.870896,3.418962
9.757213,5.866257,3.417843
9.759303,5.861616,3.416724
9.761396,5.856973,3.415605
9.763495,5.852327,3.414487
9.765598,5.847679,3.413369
9.767705,5.843029,3.412252
9.769817,5.838377,3.411135
9.771934,5.833723,3.410018
9.774055,5.829066,3.408902
9.776182,5.824407,3.407787
9.778313,5.819747,3.406672
9.780450,5.815083,3.405557
9.782591,5.810418,3.404443
9.784738,5.805751,3.403330
9.786890,5.801081,3.402217
9.789048,5.796410,3.401105
9.791211,5.791736,3.399993
9.793379,5.787060,3.398883
9.795554,5.782382,3.397773
9.797734,5.777701,3.396663
9.799920,5.773019,3.395555
9.802111,5.768334,3.394447
9.804309,5.763648,3.393341
9.806513,5.758959,3.392235
9.808723,5.754268,3.391130
9.810939,5.749575,3.390025
9.813162,5.744880,3.388922
9.815391,5.740182,3.387820
9.817627,5.735483,3.386719
9.819869,5.730781,3.385619
9.822118,5.726078,3.384519
9.824374,5.721372,3.383421
9.826636,5.716664,3.382325
9.828906,5.711954,3.381229
9.831182,5.707242,3.380134
9.833466,5.702528,3.379041
9.835757,5.697811,3.377949
9.838056,5.693093,3.376858
9.840361,5.688372,3.375768
9.842675,5.683650,3.374680
9.844996,5.678925,3.373593
9.847324,5.674198,3.372508
9.849661,5.669469,3.371424
9.852005,5.664739,3.370341
9.854357,5.660005,3.369260
9.856717,5.655270,3.368181
9.859086,5.650533,3.367103
